date,league,home_team,away_team,result,prob_home,prob_draw,prob_away,prediction,logistic_weight,poisson_weight,boosting_weight,boosting_temperature,avg_home_odds,avg_draw_odds,avg_away_odds,avg_close_home_odds,avg_close_draw_odds,avg_close_away_odds,early_prob_home,early_prob_draw,early_prob_away,close_prob_home,close_prob_draw,close_prob_away
2025-10-04,La Liga,Oviedo,Levante,A,0.4258765696264567,0.2931434937440276,0.2809799366295155,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.48,3.26,2.86,2.37,3.22,3.07,0.38053646352015413,0.2894878618190129,0.329975674660833,0.3987222045198789,0.29346944866835806,0.3078083468117632
2025-10-04,Serie A,Atalanta,Como,D,0.6290067062831951,0.2136183230579064,0.1573749706588983,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.18,3.43,3.21,2.17,3.32,3.34,0.43202213023091557,0.2745796629455965,0.29339820682348783,0.4341568458556831,0.28377119141772056,0.2820719627265965
2025-10-04,La Liga,Girona,Valencia,H,0.3462729070555363,0.2787175409687258,0.3750095519757377,A,0.35,0.4,0.2499999999999999,1.0900000000000003,2.43,3.37,2.84,2.36,3.27,3.01,0.38809298855282204,0.27984153180515065,0.3320654796420274,0.39907961157175587,0.28802075942181765,0.3128996290064265
2025-10-04,Ligue 1,Metz,Marseille,A,0.1470218176293335,0.2163897330971404,0.636588449273526,A,0.35,0.4,0.2499999999999999,1.0900000000000003,6.2,4.57,1.46,5.77,4.29,1.53,0.15144059448638392,0.205455511119383,0.6431038943942331,0.16349940590507936,0.2199047953548503,0.6165957987400705
2025-10-04,Premier League,Arsenal,West Ham,H,0.772707477643235,0.1452067827897795,0.0820857395669854,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.19,6.83,15.25,1.18,7.28,14.63,0.7985535835722176,0.13913305482444202,0.062313361603340264,0.8046708904942724,0.13042742455813755,0.06490168494758997
2025-10-04,Serie A,Inter,Cremonese,H,0.7807696928079134,0.1393052745572024,0.079925032634884,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.18,6.95,14.36,1.16,7.08,17.41,0.7987495578153437,0.13561503283771303,0.06563540934694329,0.8126974666251734,0.13315382221542388,0.05414871115940271
2025-10-04,Ligue 1,Auxerre,Lens,A,0.2687648745129987,0.2665453257188132,0.4646897997681879,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.65,3.61,1.94,3.5,3.59,2.01,0.25690274348976,0.25974931128466044,0.48334794522557945,0.2690903531114003,0.26234435540108664,0.468565291487513
2025-10-04,Bundesliga,Werder Bremen,St Pauli,H,0.5003137773404713,0.2508102894725985,0.2488759331869299,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.32,3.51,2.86,2.31,3.51,2.9,0.404504976427449,0.2673651126244107,0.3281299109481404,0.40738650689783523,0.26810906864216505,0.3245044244599998
2025-10-04,Ligue 1,Brest,Nantes,D,0.5509498143108855,0.2480919868676738,0.2009581988214405,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.86,3.59,4.0,1.89,3.55,4.01,0.5042595180739815,0.26125980602161714,0.2344806759044014,0.4990727074488412,0.26570349776853797,0.2352237947826209
2025-10-04,Premier League,Chelsea,Liverpool,H,0.3418014754881677,0.2294078559654779,0.4287906685463542,A,0.35,0.4,0.2499999999999999,1.0900000000000003,2.87,3.7,2.28,2.87,3.64,2.31,0.3295492722258248,0.25562335440219386,0.41482737337198133,0.32993655066333394,0.26014228033070563,0.40992116900596043
2025-10-04,Serie A,Lazio,Torino,D,0.6191603556300485,0.2136983413217051,0.1671413030482463,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.71,3.56,5.11,1.99,3.22,3.99,0.550971763287731,0.26465216719719664,0.1843760695150724,0.47242027232246275,0.29196159687009343,0.23561813080744384
2025-10-05,Serie A,Udinese,Cagliari,D,0.4390634552842882,0.297150527386833,0.2637860173288786,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.17,3.19,3.51,2.11,3.13,3.73,0.43506930008276373,0.29595623234470136,0.26897446757253485,0.4464674276754814,0.30097324996653857,0.2525593223579801
