date,season,league,home_team,away_team,bet,bet_result,odds,odds_source,model_probability,market_probability,break_even_probability,signal,expected_roi,actual_clv,actual_result,won,stake,profit,signal_label
2023-04-04,2022/23,Premier League,Chelsea,Liverpool,DRAW,D,3.58,Max market,0.2824879828579143,0.2783456162451252,0.27932960893854747,0.004142366612789106,0.011306978631333342,-0.005376178299543732,D,True,10.0,25.8,STANDARD
2023-04-08,2022/23,Bundesliga,Augsburg,FC Koln,DRAW,D,3.66,Max market,0.2793443659701143,0.276686377487146,0.27322404371584696,0.002657988482968332,0.022400379450618457,0.010484896319769677,A,False,10.0,-10.0,STANDARD
2023-04-09,2022/23,La Liga,Valladolid,Mallorca,DRAW,D,3.05,Max market,0.33421730231057456,0.3287666851891088,0.3278688524590164,0.005450617121465773,0.019362772047252452,0.0008513575625059833,D,True,10.0,20.5,STRONG
2023-04-09,2022/23,Premier League,Liverpool,Arsenal,DRAW,D,3.88,Max market,0.2621334887363776,0.25949081310131644,0.2577319587628866,0.0026426756350611535,0.017077936297144936,0.008225722331754448,D,True,10.0,28.799999999999997,STANDARD
2023-04-14,2022/23,Bundesliga,Schalke 04,Hertha,DRAW,D,3.44,Max market,0.2949413892799721,0.29103262134115127,0.29069767441860467,0.003908767938820834,0.01459837912310391,-0.0013028414531984778,H,False,10.0,-10.0,STANDARD
2023-04-15,2022/23,Premier League,Southampton,Crystal Palace,DRAW,D,3.34,Max market,0.30381629561643014,0.3004102140108754,0.29940119760479045,0.0034060816055547227,0.014746427358876657,0.008021864990955863,A,False,10.0,-10.0,STANDARD
2023-04-15,2022/23,Bundesliga,Stuttgart,Dortmund,DRAW,D,4.0,Max market,0.2529150488999884,0.25040435178074044,0.25,0.002510697119247951,0.011660195599953571,0.00869922009821228,D,True,10.0,30.0,STANDARD
2023-04-15,2022/23,Premier League,Everton,Fulham,DRAW,D,3.56,Max market,0.28550543775782894,0.28292492433857264,0.2808988764044944,0.002580513419256303,0.01639935841787099,0.009073553069402829,A,False,10.0,-10.0,STANDARD
2023-04-15,2022/23,Bundesliga,FC Koln,Mainz,DRAW,D,3.51,Max market,0.2884613562239714,0.28479514367804737,0.2849002849002849,0.0036662125459240302,0.012499360346139632,0.01199727621180613,D,True,10.0,25.099999999999998,STANDARD
2023-04-15,2022/23,Premier League,Chelsea,Brighton,DRAW,D,3.58,Max market,0.28426423251259575,0.2811343438391363,0.27932960893854747,0.0031298886734594245,0.017665952395092832,0.004161822317551134,A,False,10.0,-10.0,STANDARD
2023-04-15,2022/23,Premier League,Wolves,Brentford,DRAW,D,3.38,Max market,0.3017330254417153,0.29775971263824563,0.2958579881656805,0.003973312803469686,0.019857625992997674,0.005467635202557164,H,False,10.0,-10.0,STANDARD
2023-04-16,2022/23,Bundesliga,Werder Bremen,Freiburg,DRAW,D,3.67,Max market,0.2760600915551427,0.2726248062743625,0.2724795640326976,0.0034352852807802425,0.013140536007373749,0.020695685166808253,A,False,10.0,-10.0,STANDARD
2023-04-16,2022/23,Bundesliga,Wolfsburg,Leverkusen,DRAW,D,3.84,Max market,0.26831355253883993,0.26554731405516535,0.2604166666666667,0.002766238483674577,0.03032404174914527,0.0036426688145630437,D,True,10.0,28.4,STANDARD
2023-04-17,2022/23,Serie A,Fiorentina,Atalanta,DRAW,D,3.74,Max market,0.2786550847398734,0.27501364719928056,0.267379679144385,0.003641437540592818,0.04217001692712641,0.00476103299070707,D,True,10.0,27.400000000000002,STANDARD
